Word,Cluster
cat,1
bear,1
jacket,1
mouse,1
bird,1
cow,2
eat,2
smile,2
selfie,2
microphone,2
pant,2
lantern,2
ant,2
earth,2
kiss,2
ape,2
tomato,2
grape,3
pull,3
run,3
far,3
rose,3
angry,3
buy,3
puppy,3
clap,4
sun,4
gym,4
monkey,4
dive,5
plant,5
sit,5
frog,5
mug,5
tree,5
parachute,5
zip,5
spiderman,5
laptop,5
sad,6
arrest,6
calendar,7
bee,7
elephant,7
potato,8
camera,8
face,8
fruit,8
crocodile,8
dig,10
rifle,10
fly,10
exit,10
panda,10
forest,10
hang,10
shoe,10
