Word,Cluster
helicopter,1
bear,1
bullet,1
shark,1
plant,1
goldfish,1
mouse,1
slide,1
tattoo,1
dustbin,1
telephone,1
recycle,1
truck,1
pillow,2
snake,2
beetle,2
tent,2
needle,2
airplane,2
crocodile,2
table,3
hammer,3
saturn,3
empty,3
tank,3
frog,3
parachute,3
spiderman,3
bucket,3
smile,3
ambulance,4
arrow,4
igloo,5
angry,5
boat,5
dive,5
spider,5
lizard,5
fish,5
loudspeaker,5
throne,5
