,words,vit,Cluster
0,drive,"[-1.29956752e-02 -1.03379562e-01 -7.74693266e-02  1.35790840e-01
 -4.90335897e-02  2.33031198e-01 -2.42563784e-02 -1.05877304e+00
 -1.24491148e-01  2.95277864e-01 -1.82616711e-01 -4.33442414e-01
  3.60426679e-02 -3.38408560e-01  8.33752453e-02  5.16805723e-02
  3.41909260e-01  3.26530412e-02  1.12384841e-01  5.06549925e-02
  2.46460646e-01  1.12771034e-01  2.15346992e-01  1.37657344e-01
 -4.40435201e-01  1.03775010e-01  2.04191387e-01 -1.15688205e-01
 -2.87731290e-02 -2.72953331e-01  5.84863164e-02 -3.45817149e-01
  2.32650846e-01  2.50093997e-01 -2.25789338e-01  2.89616019e-01
 -3.42669904e-01  3.20816264e-02 -2.55971134e-01  1.15972146e-01
  1.42540678e-01  5.93319982e-02 -1.47022516e-01  2.55617797e-01
 -3.18406403e-01  2.53260791e-01 -7.84644932e-02  4.74238992e-02
 -1.35363474e-01  6.11880481e-01  2.71901041e-02 -2.13023841e-01
 -2.29646266e-02 -2.65922874e-01 -2.37051055e-01 -1.96270242e-01
  6.36410177e-01  6.07376173e-02 -3.93868446e-01 -2.28582695e-01
  2.27484256e-01  3.26159447e-02  4.75884229e-03 -2.51173526e-01
 -3.77785921e-01  7.46549442e-02  3.40212256e-01 -1.16167597e-01
  2.90061235e-02 -4.66535985e-03  2.24699229e-01  4.48910147e-02
  1.35797560e-01  4.07849789e-01  2.07334742e-01 -2.71521389e-01
  2.40493178e-01  2.45396972e-01  1.41456798e-01 -1.93470463e-01
 -1.67592093e-02 -3.33482385e-01  2.21708771e-02 -5.69091551e-03
  2.82500684e-03  6.90706894e-02  1.03242911e-01 -4.16826606e-01
  6.14203811e-02 -2.18059748e-01  3.25326532e-01 -3.72698665e-01
 -1.57649624e+00  5.87391853e-03 -3.94060463e-02  1.76401153e-01
 -4.10746306e-01  4.13275272e-01  4.88666594e-01 -5.00898957e-01
  2.10055739e-01 -2.88295776e-01  4.27789271e-01 -6.98640794e-02
 -5.23402512e-01 -3.17578882e-01  1.99383646e-02 -1.46159112e-01
 -2.97351107e-02 -1.69761881e-01 -2.89991319e-01  1.49046943e-01
 -9.91373807e-02 -1.43096402e-01  5.06139994e-02 -9.16617662e-02
  1.01418838e-01  6.17170393e-01 -1.89850181e-01 -3.92601192e-02
  1.33043885e-01 -6.59430474e-02 -3.61761272e-01  2.05612928e-01
  1.53205112e-01 -6.89563677e-02 -7.01773316e-02  2.30805561e-01
  2.78706491e-01  2.54126072e-01  1.81719452e-01  1.01194844e-01
 -1.79779708e-01  6.26979017e+00  1.54474616e-01 -1.98549435e-01
 -3.77931595e-01  4.26072031e-02 -6.52076453e-02 -1.16338670e-01
 -1.12706468e-01 -1.90637782e-01 -2.92172253e-01  2.85407513e-01
 -5.24273217e-02 -2.58665830e-02 -2.70346582e-01  1.74845457e-01
  1.21643469e-02  7.09362626e-02  1.34651393e-01 -2.08022371e-01
 -1.59019709e-01  4.54204798e-01 -1.55040801e-01  7.51493871e-02
  2.79027998e-01 -4.83677894e-01  9.57765803e-02 -2.37417072e-01
 -1.84175730e-01  1.43356606e-01 -1.18622929e-02 -3.15768570e-01
 -2.74841428e-01 -4.24087495e-02 -1.04827866e-01 -1.70098484e-01
  4.17737067e-01  3.63327533e-01 -8.83836448e-02  3.27757895e-01
 -1.74383223e-01 -7.50083178e-02 -1.61472216e-01  1.27973735e-01
 -1.03803873e-01 -4.04192209e-02  1.18470788e-01  9.41736065e-03
  1.63746983e-01  3.45718861e-03 -2.88039625e-01 -2.49849528e-01
 -2.63664842e-01 -3.71967465e-01  1.69790849e-01  8.98377746e-02
  3.76897529e-02 -1.93218160e-02 -4.10878748e-01 -4.25252914e-02
  3.27926576e-02 -6.39649183e-02 -6.23837233e-01  2.06803828e-01
 -2.13003755e-01  3.20244730e-01  1.70451790e-01 -1.10701270e-01
 -1.47890314e-01  1.37988478e-01  6.41534105e-02  2.25941688e-01
 -3.46588045e-02  2.27420032e-02 -3.38379771e-01 -1.45562097e-01
 -2.60813117e-01  1.98878437e-01  4.42324489e-01  1.83519527e-01
  2.43584529e-01  3.65766555e-01 -2.96805985e-02  3.31936896e-01
  7.74806738e-02 -9.29406732e-02 -3.01839590e-01  7.14294910e-02
 -1.11543491e-01 -2.70914912e-01  1.56552345e-03 -8.84549916e-02
  1.91599712e-01  3.02434385e-01  1.34712830e-01 -3.16690207e-02
 -2.87637204e-01  1.73883140e-02  3.17275733e-01  6.00535870e-02
 -2.04371467e-01  8.61993581e-02  1.97190866e-01  2.81311035e-01
 -2.99231350e-01  2.72268057e-02 -3.15393358e-01 -2.53964782e-01
  7.23787993e-02  1.02655038e-01  3.17790449e-01 -1.21736646e-01
 -5.04026949e-01 -5.19776225e-01 -1.51047692e-01 -1.29422313e-02
 -2.30787873e-01  1.59847677e-01 -3.27183343e-02  1.81245968e-01
  3.76542926e-01  2.30870277e-01 -2.16003060e-02  1.32702127e-01
  4.74646315e-02 -8.74238834e-02 -2.07724497e-02  2.30522513e-01
  4.08650964e-01 -1.44295916e-01  8.92960280e-03 -4.46056724e-02
  3.06322247e-01 -3.03254783e-01  1.19905382e-01 -3.21768701e-01
 -9.62708965e-02 -2.69327611e-01 -1.53615363e-02 -2.23653123e-01
 -1.00997210e-01 -2.07058460e-01  1.92755848e-01 -4.94791329e-01
  9.12130326e-02 -8.60583782e-03 -3.62273641e-02  2.21749514e-01
  1.93327293e-02  2.39253461e-01 -1.52805060e-01  1.07548535e-01
  5.46070039e-02  1.03911564e-01  3.56034875e-01  3.75811681e-02
  1.84252173e-01  1.68521434e-01  7.51512200e-02 -3.13706458e-01
  7.67278671e-02  1.00022212e-01 -1.16961196e-01  3.85549486e-01
 -2.95179844e-01 -2.55545288e-01  4.59548324e-01 -9.69490707e-02
 -1.53722003e-01  1.43890321e-01 -1.03469953e-01  1.13573775e-01
  1.11960813e-01  9.84808430e-02 -7.19970018e-02  6.25215471e-02
  2.07075253e-02  1.93591759e-01  1.21566169e-01 -2.90675163e-01
  6.26170969e+00 -4.98539880e-02  1.12023041e-01 -2.64542311e-01
  2.80900866e-01 -3.08960795e-01 -3.89109254e-02 -6.85344636e-02
  1.48423493e-01  3.70749027e-01  7.55793527e-02  1.48714989e-01
  2.79958546e-01 -1.78245232e-01  2.58506596e-01  2.47027382e-01
 -2.89109170e-01 -2.04411697e+00  1.80306852e-01  7.85178170e-02
  1.05303928e-01  2.13095412e-01  1.38477340e-01 -1.71103776e-02
 -1.65103152e-02 -8.96202177e-02  1.78607166e-01 -3.36021841e-01
  2.33995557e-01 -2.05971599e-01  1.54465556e-01 -2.86796480e-01
  3.20031762e-01 -1.40638918e-01 -4.12317067e-02  3.38054411e-02
  8.52768570e-02  1.46104574e-01 -4.42397535e-01  1.47429317e-01
  4.93282557e-01 -3.32881063e-01 -1.26681834e-01  2.25259513e-01
 -2.15012833e-01  2.44328439e-01  3.28819454e-02  7.54092038e-01
 -3.30557019e-01  1.01843126e-01 -9.81968790e-02  3.65227461e-02
  9.38622355e-02 -3.28260720e-01  1.97630256e-01 -3.44081521e-02
 -1.28297880e-01 -1.44964695e-01  5.52030988e-02  4.38757151e-01
 -8.75647143e-02  2.47389406e-01 -2.87287831e-01 -4.13814634e-02
 -3.57875407e-01  3.23543936e-01  1.46362409e-01  1.26345843e-01
 -1.82301223e-01  1.59173667e-01 -1.44946575e-03  1.58422053e-01
  1.01686582e-01 -1.06764100e-02  2.36261785e-01 -9.15551484e-02
  3.52153599e-01  2.04463482e-01  1.59159899e-02  1.62004307e-01
 -3.67338806e-02  4.01445627e-02  5.04420921e-02  5.97316384e-01
  1.09510429e-01 -2.58092523e-01  3.42641622e-02  4.51958448e-01
 -6.46903962e-02 -2.18022391e-02 -5.06756663e-01  1.20985389e-01
 -3.47360730e-01  8.29643011e-02  1.30536273e-01 -7.89559186e-02
 -1.86617389e-01 -4.82891798e-02 -5.60203344e-02  2.23880380e-01
  1.36855662e-01  2.38477647e-01 -1.21025726e-01  6.49809837e-02
  1.14029579e-01 -1.23093836e-03  3.46885324e-02  1.03662550e-01
 -1.14741772e-01  7.54495934e-02 -4.56500351e-02 -2.42699698e-01
 -4.18606341e-01 -8.37093368e-02 -4.97938916e-02 -1.97447479e-01
  2.24437788e-01 -1.79533109e-01 -3.18155915e-01  2.03702316e-01
 -5.85433483e-01  6.55739903e-02  2.27320433e-01  1.83950782e-01
 -5.38336635e-01  3.37721929e-02 -2.96947181e-01 -3.11734974e-02
 -2.02916116e-01 -2.04267487e-01  8.02350193e-02  2.47232527e-01
  9.36465636e-02  2.56514549e-01  1.17289424e-02  5.70055842e-03
 -2.58140564e-01  2.35046297e-02  1.89440683e-01  4.55198467e-01
 -1.59911186e-01  1.63373202e-01  1.17264181e-01  6.66829944e-02
  3.15703601e-01  4.31902438e-01  8.14184453e-03 -1.47434026e-01
  2.44541630e-01 -1.52641982e-02  1.29742831e-01  1.05025515e-01
  3.38448882e-01  2.96284445e-02  2.85235405e-01  1.36391968e-01
 -1.90505177e-01 -1.67874619e-03 -4.27954614e-01 -4.55518693e-01
 -7.31692016e-02 -5.22236109e-01 -4.27206978e-03 -1.45561904e-01
  9.44036469e-02  6.33995771e-01  1.26237303e-01  1.86320931e-01
  4.95934755e-01 -6.32836461e-01  1.76829055e-01 -1.97005466e-01
 -5.58951683e-02 -2.29981840e-01 -6.67322278e-02  2.89464653e-01
 -1.30555749e-01 -1.35715500e-01 -6.67590648e-02  3.50682110e-01
 -3.34402531e-01  6.06042206e-01 -5.17268121e-01 -3.04576516e-01
  2.48014972e-01 -1.44944713e-01 -1.57063559e-01 -1.61163196e-01
 -5.81285596e-01  1.41204074e-01 -4.89540361e-02  1.25334799e-01
  4.31795269e-02  3.21423143e-01  4.75764871e-01  1.76826850e-01
 -1.58109471e-01 -7.44496733e-02 -2.73678064e-01  3.91944736e-01]",2
1,sing,"[ 9.75514203e-02 -9.36482921e-02 -2.21801162e-01  8.59546363e-02
 -3.37389708e-02  9.11896080e-02 -6.95739761e-02 -1.36400986e+00
 -5.10924995e-01  3.46609175e-01  2.96016276e-01 -1.73103690e-01
  5.37260734e-02  8.25161412e-02  3.12915564e-01  1.28868788e-01
 -9.31569487e-02 -5.76628819e-02 -3.22894156e-02 -1.18196875e-01
  1.24067798e-01 -4.62826192e-02 -9.10276920e-02 -2.02586949e-01
 -1.12266302e-01 -6.82408661e-02 -2.08451711e-02 -1.02131225e-01
 -1.40307873e-01  1.75936311e-01  1.81032136e-01 -2.60667801e-01
  3.18568915e-01 -1.00396112e-01 -1.88452870e-01  3.94733965e-01
 -6.75884634e-02 -5.02046645e-02 -4.11899269e-01 -5.22828847e-02
  1.18935376e-01  2.59056017e-02  2.48309925e-01 -1.28048629e-01
 -2.68255949e-01  3.17059964e-01 -1.49608001e-01  2.50965208e-02
  4.71855164e-01  3.29771966e-01 -1.22090429e-02  1.52694304e-02
 -5.48064113e-02 -2.86104441e-01  7.12016523e-02 -5.02131879e-05
  2.79999599e-02  2.25486144e-01 -1.68736532e-01  1.05723232e-01
  4.46516931e-01  1.72556534e-01 -3.81207764e-02  5.34101836e-02
 -4.51454550e-01 -3.51110637e-01 -1.10600010e-01 -5.13267070e-02
  3.44558001e-01  9.33417827e-02  4.33781222e-02 -4.24684525e-01
 -4.40583020e-01  2.21309826e-01 -2.99034476e-01 -4.53445166e-02
  1.15475953e-01  2.17589900e-01 -1.48667425e-01 -1.77966416e-01
 -3.10592532e-01  1.76331908e-01  1.40713647e-01  1.18078612e-01
  1.80867612e-01 -2.78756380e-01 -2.04995990e-01 -4.86266792e-01
  2.28884414e-01 -8.89804512e-02  8.35892335e-02 -6.66493848e-02
 -1.73097515e+00 -3.01351696e-01  2.28210032e-01 -9.65425000e-02
 -3.84536311e-02  1.85967118e-01 -9.76749808e-02 -2.37943545e-01
  2.92338550e-01 -1.21933416e-01  1.44913539e-01 -2.67503142e-01
  9.52894837e-02  9.90117341e-02  3.46940249e-01 -3.37041497e-01
 -6.12349622e-02 -2.97710717e-01 -2.06745818e-01  1.29446730e-01
 -2.03411058e-01 -1.60041153e-01  8.92108530e-02 -3.69479179e-01
 -2.68403471e-01  3.17656755e-01  2.13163897e-01 -1.22138187e-02
  2.88323343e-01  3.18973660e-02 -5.04594862e-01  4.17276978e-01
  2.50397921e-01 -4.85851876e-02 -2.82899916e-01 -2.10441470e-01
 -6.76209033e-02  2.90756106e-01  8.90197605e-02  2.28707492e-01
 -4.19454128e-02  6.71339655e+00  9.80176851e-02  5.71506657e-02
 -1.35564655e-01 -1.72234982e-01 -2.95970351e-01  2.83242702e-01
  1.74034700e-01 -4.19719160e-01  1.44473404e-01  1.38228834e-01
 -9.62905213e-02  2.88197026e-02  2.58600980e-01  1.84499830e-01
 -6.66565448e-02 -1.58226952e-01  5.51912487e-01 -2.68200219e-01
  1.51744738e-01 -3.32901597e-01 -1.39591128e-01  1.42384768e-01
  4.15511727e-02 -2.18109041e-01 -1.72548234e-01  4.47666794e-02
 -2.50779390e-01  3.57798040e-01  3.99568826e-02 -1.57950997e-01
 -2.07787007e-03  7.32634068e-02 -3.26078832e-01 -2.40319848e-01
  2.47502819e-01  2.46830493e-01  8.12328383e-02  8.34134668e-02
 -2.45983720e-01 -6.61671236e-02 -1.38589963e-01  6.12873249e-02
 -3.03228855e-01  1.31912082e-01  2.69481868e-01 -2.73780614e-01
  5.80913685e-02  1.77989960e-01  1.11492701e-01  1.17302969e-01
 -3.34770113e-01 -5.48380256e-01  3.84826928e-01 -6.21679068e-01
 -2.20430672e-01  1.71849430e-01  2.07617700e-01  8.10051858e-02
 -1.01708651e-01  3.93449783e-01  7.18973950e-03 -6.15656376e-03
  1.03284150e-01  3.86252813e-02  1.02707610e-01 -5.26460260e-02
 -2.01422900e-01  5.98425269e-02  1.74727231e-01  6.16842508e-03
 -5.62130585e-02  3.79787385e-03 -2.72193909e-01 -4.05715704e-02
  5.63313663e-02  2.19943151e-01  2.93319046e-01  2.91060448e-01
  4.90545779e-02  3.45109701e-02 -8.12343732e-02 -9.81748700e-02
  3.30030888e-01 -2.18566984e-01 -1.18319243e-02  2.18911678e-01
 -1.53595433e-02 -1.84791803e-01 -2.87383705e-01  8.21156576e-02
  3.38612914e-01  6.44004345e-02  2.85544619e-02  5.02839148e-01
 -3.20421308e-01 -1.30058199e-01  6.31468296e-01  1.69112980e-02
 -2.30800211e-01  1.22191079e-01  2.26581916e-02  4.84980255e-01
 -3.49624366e-01 -4.17911187e-02 -6.49115443e-02 -1.70960218e-01
  2.73417592e-01  2.08470181e-01 -1.07633807e-01 -6.60201907e-03
  5.09505831e-02  1.30495578e-01 -1.29460722e-01 -1.43906683e-01
  3.08842957e-02 -2.33243793e-01  1.33744583e-01  6.38326526e-01
  1.55526280e-01  3.64653111e-01 -1.64648235e-01  1.10886261e-01
 -2.31966674e-01 -6.99895620e-03  1.30593717e-01 -4.51720804e-02
  3.93860817e-01 -1.87233016e-01  5.45368418e-02 -1.72682717e-01
  8.28361809e-02 -2.44797617e-01  4.09683168e-01 -3.11470270e-01
 -3.04524034e-01 -4.61923592e-02  8.28495026e-02 -4.95205224e-02
 -1.64381891e-01  1.55833587e-02  2.71495879e-02 -5.54987967e-01
  9.50311273e-02 -8.11809599e-02  4.42731261e-01 -3.25259238e-01
  2.23863050e-01 -1.32905453e-01  1.37021869e-01  7.88193196e-02
  4.88249063e-02  3.82147133e-01  1.79751739e-01 -3.55982214e-01
 -1.72452420e-01 -3.17734033e-01  2.98855156e-01  2.35465765e-02
 -3.19467902e-01  3.08506459e-01 -8.07819515e-03 -5.12499362e-02
 -3.62034321e-01 -1.29574075e-01  1.41533777e-01 -1.99477542e-02
  8.28925520e-03  2.26055920e-01 -1.55198917e-01 -1.12015545e-01
  2.05583155e-01  3.89563084e-01 -3.16296548e-01  1.04152992e-01
  2.44775206e-01  8.40625688e-02  2.05315560e-01  9.99487787e-02
  6.70107889e+00  1.67682320e-02 -8.46294165e-02  2.45797232e-01
  2.06203237e-02 -1.08153403e-01  2.83021927e-02  2.96225667e-01
  2.56530255e-01  3.41450810e-01  3.76374722e-01 -3.88814285e-02
 -1.74390346e-01 -1.68988138e-01 -4.06551361e-02  9.61664617e-02
 -1.66859299e-01 -2.24309540e+00 -1.20211229e-01  2.02156797e-01
 -1.24509364e-01  1.50315404e-01 -4.58960868e-02  1.81382924e-01
  5.48717231e-02 -3.27889681e-01 -1.17146894e-02 -3.49799097e-02
 -1.15011789e-01 -3.84597957e-01 -3.54155004e-01 -4.89273667e-03
 -1.82819784e-01  6.88370317e-04  9.95718986e-02  1.66181654e-01
 -1.00212708e-01 -2.75920093e-01  4.85456064e-02  1.96336657e-01
 -1.68263897e-01 -3.34361270e-02  1.44153714e-01  9.55929309e-02
 -1.73294246e-02  1.47304177e-01 -1.63596019e-01  4.93767783e-02
 -1.57970518e-01  1.99122757e-01  1.25366315e-01 -1.77337751e-02
  5.02437428e-02 -5.04690528e-01 -1.03820637e-01 -7.60036148e-03
 -1.44205272e-01  1.74117610e-01 -8.88855308e-02  6.09903932e-02
  1.78631291e-01  3.56820285e-01 -4.22956318e-01  7.10776150e-02
 -4.17014599e-01 -1.25474393e-01 -4.83336151e-02  1.02683417e-01
 -1.78116947e-01 -2.44683594e-01  1.05205968e-01  1.19068027e-01
 -1.96630508e-03  6.81391358e-02 -2.80613512e-01  1.44758970e-02
  6.26894161e-02  3.72299045e-01 -1.75570950e-01  6.52001351e-02
  2.71657825e-01  1.96375713e-01  2.74405092e-01  1.14850543e-01
  3.50266576e-01 -3.39557171e-01 -3.31187010e-01  3.36313069e-01
  2.35596120e-01  6.53250366e-02 -1.43495679e-01  1.30229458e-01
 -3.26148793e-02  5.94053119e-02  2.95566142e-01  6.25395626e-02
  1.82609022e-01  1.83704436e-01  3.64186138e-01 -1.38353050e-01
 -2.57152259e-01  2.83790350e-01 -9.66550857e-02  4.72388640e-02
 -3.34864408e-02 -8.88047889e-02  1.38192959e-02  5.38708866e-01
 -1.31101564e-01  4.13627923e-02  7.90445656e-02 -2.10973024e-01
 -1.14079140e-01  2.41094232e-01 -4.58143055e-02 -3.79029214e-01
  3.21823925e-01 -3.02230269e-01  1.62489116e-01 -2.16554239e-01
  1.36180371e-02 -1.01191804e-01 -1.42812431e-02 -7.67782703e-02
 -2.68551648e-01  9.34429765e-02 -5.93889952e-02 -2.45209172e-01
 -7.54818320e-04 -2.94433653e-01 -1.71150699e-01 -9.67371017e-02
  3.06377649e-01 -2.96036582e-02 -1.78656518e-01 -1.25121146e-01
 -2.51294494e-01  4.97972488e-01  1.66708425e-01  5.31370342e-02
  1.25321120e-01  1.16914853e-01  2.97404438e-01  1.43556088e-01
  9.10410434e-02  3.12786400e-01 -2.16797620e-01  1.55387312e-01
  1.09597184e-01 -3.51160690e-02  2.28060290e-01 -3.22526038e-01
 -2.10709542e-01 -3.10391992e-01 -4.75872308e-04 -2.07135856e-01
  4.77866828e-02  1.27990991e-01  1.35014921e-01 -1.91303775e-01
  1.38913170e-01 -8.53300095e-02 -8.57800245e-02  7.55579472e-02
 -1.79593965e-01  2.65394866e-01  4.09906805e-01 -9.83763188e-02
  2.69283175e-01 -6.03509426e-01  2.76347876e-01  3.31864297e-01
  7.91283697e-02 -1.35044292e-01  5.98596036e-02  3.47464681e-01
  1.52340695e-01 -1.67431414e-01 -2.28760332e-01 -5.00933379e-02
 -8.97424445e-02  4.85161245e-01 -1.91274196e-01  1.75475180e-02
  2.17307299e-01 -3.69104296e-02 -1.70143098e-02  1.29043192e-01
 -1.19560130e-01 -2.88947165e-01 -7.52195343e-02  2.23042667e-01
 -3.29998136e-01 -3.75352859e-01  6.07682392e-04 -1.31069839e-01
 -2.21437484e-01 -1.60470992e-01  7.34417140e-02 -1.34660810e-01]",1
