Word,Cluster
panda,1
ape,1
rose,1
dive,1
sit,1
cat,1
exit,1
smile,1
bear,1
forest,1
mug,1
eat,1
frog,1
fly,1
gym,1
face,1
monkey,1
kiss,1
selfie,1
rifle,1
cow,1
plant,1
far,1
dig,1
run,1
clap,1
pull,1
microphone,1
jacket,1
sun,1
puppy,1
sad,1
fruit,1
grape,1
laptop,1
calendar,1
mouse,1
arrest,1
ant,1
buy,1
bird,1
spiderman,1
bee,1
angry,1
tree,1
hang,1
earth,1
camera,1
zip,1
tomato,1
parachute,1
lantern,1
elephant,1
pant,1
potato,1
crocodile,1
shoe,1
